H_A_per_m,B_T
6.099235508809215389e+00,1.174991167904671230e-01
6.111832246664562263e+00,1.177491130621724502e-01
6.124426267386297695e+00,1.179991093261753971e-01
6.137017556393402629e+00,1.182491055825568710e-01
6.149606099148513749e+00,1.184991018315990352e-01
6.162191881114267744e+00,1.187490980729154905e-01
6.174774887796957046e+00,1.189990943063154727e-01
6.187355104746529832e+00,1.192490905318013827e-01
6.199932517556590028e+00,1.194990867495663994e-01
6.212507111864397302e+00,1.197490829599921897e-01
6.225078873307211325e+00,1.199990791627782299e-01
6.237647787565947510e+00,1.202490753578070448e-01
6.250213840365177020e+00,1.204990715451418060e-01
6.262777017473126762e+00,1.207490677250241534e-01
6.275337304658023641e+00,1.209990638970028232e-01
6.287894687775406055e+00,1.212490600616688424e-01
6.300449152637156658e+00,1.214990562180461031e-01
6.313000685186125338e+00,1.217490523670656383e-01
6.325549271321506239e+00,1.219990485080860859e-01
6.338094897029804997e+00,1.222490446414996185e-01
6.350637548341182992e+00,1.224990407678606119e-01
6.363177211242145859e+00,1.227490368861425540e-01
6.375713871850166470e+00,1.229990329972165813e-01
6.388247516239061952e+00,1.232490291003679739e-01
6.400778130569960922e+00,1.234990251959051655e-01
6.413305701003991999e+00,1.237490212834162912e-01
6.425830213789595291e+00,1.239990173635089621e-01
6.438351655175210908e+00,1.242490134360660636e-01
6.450870011452934705e+00,1.244990095011144077e-01
6.463385268958518282e+00,1.247490055588230395e-01
6.475897414027713239e+00,1.249990016086286876e-01
6.488406433083582669e+00,1.252489976509780500e-01
6.500912312549189664e+00,1.254989936855812893e-01
6.513415038891253062e+00,1.257489897122821831e-01
6.525914598620147444e+00,1.259989857310562233e-01
6.538410978333558887e+00,1.262489817428820438e-01
6.550904164585517719e+00,1.264989777471199062e-01
6.563394143973710015e+00,1.267489737432554442e-01
6.575880903183133341e+00,1.269989697317718547e-01
6.588364428942441009e+00,1.272489657132750140e-01
6.600844707936630584e+00,1.274989616867424902e-01
6.613321726981666870e+00,1.277489576530190241e-01
6.625795472849858925e+00,1.279989536113164961e-01
6.638265932400827296e+00,1.282489495618362729e-01
6.650733092537848279e+00,1.284989455048927143e-01
6.663196940164198168e+00,1.287489414400362353e-01
6.675657462270464748e+00,1.289989373678021300e-01
6.688114645847235806e+00,1.292489332879578623e-01
6.700568477928754874e+00,1.294989292003766168e-01
6.713018945592921227e+00,1.297489251050360781e-01
6.725466036004945636e+00,1.299989210028933972e-01
6.737909736242727377e+00,1.302489168923763874e-01
6.750350033558788709e+00,1.304989127746429833e-01
6.762786915161996149e+00,1.307489086491948338e-01
6.775220368348527700e+00,1.309989045165074473e-01
6.787650380414561369e+00,1.312489003762732920e-01
6.800076938699930906e+00,1.314988962282779561e-01
6.812500030588125810e+00,1.317488920723984547e-01
6.824919643549947068e+00,1.319988879094807777e-01
6.837335765012539923e+00,1.322488837387024441e-01
6.849748382490361109e+00,1.324988795602068392e-01
6.862157483541523106e+00,1.327488753742233907e-01
6.874563055767794140e+00,1.329988711810663193e-01
6.886965086770942435e+00,1.332488669802533165e-01
6.899363564196391962e+00,1.334988627713832865e-01
6.911758475776878186e+00,1.337488585550157538e-01
6.924149809245136566e+00,1.339988543309092450e-01
6.936537552421214059e+00,1.342488500997809642e-01
6.948921693081501871e+00,1.344988458606627968e-01
6.961302219133358449e+00,1.347488416144241030e-01
6.973679118440486491e+00,1.349988373602456215e-01
6.986052378997555934e+00,1.352488330991443444e-01
6.998421988755580969e+00,1.354988288304454225e-01
7.010787935709231533e+00,1.357488245535436455e-01
7.023150207984144799e+00,1.359988202696686133e-01
7.035508793662302196e+00,1.362488159783530606e-01
7.047863680869340897e+00,1.364988116791965023e-01
7.060214857818209566e+00,1.367488073727478326e-01
7.072562312721856870e+00,1.369988030587376282e-01
7.084906033836887218e+00,1.372487987369602203e-01
7.097246009463560767e+00,1.374987944072727231e-01
7.109582227989449166e+00,1.377487900704788548e-01
7.121914677758468315e+00,1.379987857256742279e-01
7.134243347245501354e+00,1.382487813737842131e-01
7.146568224881775677e+00,1.384987770140232166e-01
7.158889299229485914e+00,1.387487726474346539e-01
7.171206558807170950e+00,1.389987682733483665e-01
7.183519992177025415e+00,1.392487638911498460e-01
7.195829588032211177e+00,1.394987595020528159e-01
7.208135334978578612e+00,1.397487551046664722e-01
7.220437221796601079e+00,1.399987507003141451e-01
7.232735237223096192e+00,1.402487462885988190e-01
7.245029370038537309e+00,1.404987418691755474e-01
7.257319609110709280e+00,1.407487374426387994e-01
7.269605943263741210e+00,1.409987330078579792e-01
7.281888361452729441e+00,1.412487285655286973e-01
7.294166852676426060e+00,1.414987241163971343e-01
7.306441405889927410e+00,1.417487196594808541e-01
7.318712010135641322e+00,1.419987151947339765e-01
7.330978654543287121e+00,1.422487107230482328e-01
7.343241328198928386e+00,1.424987062435831842e-01
7.355500020275940187e+00,1.427487017564343097e-01
7.367754719991353340e+00,1.429986972617433016e-01
7.380005416605854407e+00,1.432486927596972048e-01
7.392252099423785694e+00,1.434986882505284167e-01
7.404494757749489509e+00,1.437486837336224288e-01
7.416733380974619649e+00,1.439986792092996515e-01
7.428967958534485660e+00,1.442486746779243767e-01
7.441198479864397086e+00,1.444986701390120754e-01
7.453424934443319216e+00,1.447486655921200738e-01
