H_A_per_m,B_T
1.707491541624511910e+01,1.151213052739961773e+00
1.569725380659355096e+01,1.148657766132899383e+00
1.440246959713077501e+01,1.146219244732123332e+00
1.319163642473642994e+01,1.143905705380525717e+00
1.206574219993403574e+01,1.141725127513505633e+00
1.102568834392951658e+01,1.139685191433780664e+00
1.007228911310903641e+01,1.137793216217187986e+00
9.206271011448734498e+00,1.136056096648868863e+00
8.428272291194687682e+00,1.134480244593288889e+00
7.738842542089400922e+00,1.133071530351141387e+00
7.138442369327151482e+00,1.131835229612112359e+00
6.627443160337435302e+00,1.130775974758738034e+00
6.206126940402754144e+00,1.129897708304982373e+00
5.874686317033948058e+00,1.129203648670253690e+00
5.633224512934262407e+00,1.128696256119831043e+00
5.481755487299381002e+00,1.128377210271915398e+00
5.420204145112052174e+00,1.128247394454857666e+00
5.448406634004669513e+00,1.128249487065490442e+00
5.566110728176909106e+00,1.128258245845846552e+00
5.772976298771510528e+00,1.128273738126170711e+00
6.068575870026606367e+00,1.128296094717499809e+00
6.452395260439857338e+00,1.128325509673443694e+00
6.923834308098378187e+00,1.128362240213823364e+00
7.482207679245490795e+00,1.128406606776273691e+00
8.126745759077962816e+00,1.128458993277355882e+00
8.856595623685166174e+00,1.128519847558351552e+00
9.670822091968020118e+00,1.128589682059090382e+00
1.056840885629513593e+01,1.128669074727587152e+00
1.154825969058305191e+01,1.128758670257000274e+00
1.260919973441026798e+01,1.128859181607170692e+00
1.374997685170573902e+01,1.128971391909569189e+00
1.496926306248111871e+01,1.129096156786419280e+00
1.626565604600884285e+01,1.129234407129361850e+00
1.763768071377835156e+01,1.129387152399008221e+00
1.908379085050339086e+01,1.129555484501449714e+00
2.060237082138320375e+01,1.129740582307403818e+00
2.219173734376732909e+01,1.129943716914194818e+00
2.385014132130633868e+01,1.130166257711103572e+00
2.557576973862229863e+01,1.130409679291944247e+00
2.736674761446901982e+01,1.130675569481659037e+00
2.922114001130883310e+01,1.130965638379134885e+00
3.113695409917127677e+01,1.131281728762222327e+00
3.311214127162393339e+01,1.131625827806320261e+00
3.514459931162217288e+01,1.132000080567390876e+00
