H_upper,B_upper,H_lower,B_lower,H_init,B_init
-223.2,-1.15335310709,-223.2,-1.43326586761,-223.2,-1.29330948735
-222,-1.14957474808,-222,-1.43273970641,-222,-1.29115722724
-220.8,-1.14573201092,-220.8,-1.43221023857,-220.8,-1.28897112475
-219.6,-1.14182323544,-219.6,-1.43167743274,-219.6,-1.28675033409
-218.4,-1.13784670387,-218.4,-1.43114125715,-218.4,-1.28449398051
-217.2,-1.13380063836,-217.2,-1.43060167964,-217.2,-1.282201159
-216,-1.12968319831,-216,-1.43005866765,-216,-1.27987093298
-214.8,-1.12549247757,-214.8,-1.42951218818,-214.8,-1.27750233288
-213.6,-1.12122650151,-213.6,-1.42896220783,-213.6,-1.27509435467
-212.4,-1.11688322391,-212.4,-1.42840869274,-212.4,-1.27264595833
-211.2,-1.1124605237,-211.2,-1.42785160864,-211.2,-1.27015606617
-210,-1.10795620148,-210,-1.42729092081,-210,-1.26762356114
-208.8,-1.10336797588,-208.8,-1.42672659406,-208.8,-1.26504728497
-207.6,-1.09869347973,-207.6,-1.42615859276,-207.6,-1.26242603625
-206.4,-1.09393025597,-206.4,-1.42558688081,-206.4,-1.25975856839
-205.2,-1.0890757533,-205.2,-1.42501142162,-205.2,-1.25704358746
-204,-1.0841273217,-204,-1.42443217814,-204,-1.25427974992
-202.8,-1.07908220756,-202.8,-1.42384911281,-202.8,-1.25146566018
-201.6,-1.07393754856,-201.6,-1.42326218759,-201.6,-1.24859986807
-200.4,-1.06869036827,-200.4,-1.42267136392,-200.4,-1.2456808661
-199.2,-1.06333757042,-199.2,-1.42207660273,-199.2,-1.24270708658
-198,-1.05787593278,-198,-1.42147786442,-198,-1.2396768986
-196.8,-1.05230210069,-196.8,-1.42087510886,-196.8,-1.23658860478
-195.6,-1.04661258022,-195.6,-1.4202682954,-195.6,-1.23344043781
-194.4,-1.0408037308,-194.4,-1.4196573828,-194.4,-1.2302305568
-193.2,-1.03487175755,-193.2,-1.41904232928,-193.2,-1.22695704341
